row_hash,Кількість лікарів,Чи є лікарі?,"Кількість фелдшерів, медичних сестер",Чи є сестри? ,Співвідношення кількості лікарів та медсестер,Кількість обслуговуємого населення на кінець 2023,Співвідношення кількості лікарів до обслуговуємого населення,Кількість декларацій на кінець 2023,Кількість лікарів на 1000 декларацій,Кількість спеціалістів ультразвукової діагностики,Наявність/кількість мобільних команд (від амбулаторіі чи інших організацій),"Тонометр з малими, середніми і великими манжетами",Пульсоксиметр портативний,Отоофтальмоскоп,Електрокардіограф (у комплекті з витратними (одноразовими) матеріалами),Пікфлуометр (у комплекті з витратними (одноразовими) матеріалами),Молоточок неврологічний,Швидкі тести: вагітність (в розрахунку на потребу на місяць),Швидкі тести: тропоніни (в розрахунку на потребу на місяць),Швидкі тести: ВІЛ (в розрахунку на потребу на місяць),Швидкі тести: вірусні гепатити (в розрахунку на потребу на місяць),Кількість наборів (РЕР - пост контактна профілфктика) для надання допомоги постраждалим від гендерного насильства.,Швидкі тести: вагітність 1\0,Швидкі тести:тропонін 1\0,Швидкі тести: ВІЛ 1\0,Швидкі тести: вірусні гепатити 1\0,Засоби контрацепції для надання населенню,Сумка-холодильник з набором акумуляторів холоду,Холодильник для зберігання лікарських засобів,"Кушетка, в тому числі кушеткатрансформер (гінекологічне крісло)",Можливість гінекологічного крісла,"Кількість робочих місць повністю забезпечених комп’ютерним обладнанням (комп’ютер або ноутбук з операційною системою та доступом до мережі Інтернет, багатофункціональний пристрій (або принтер + сканер))",Кількість робочих місць повністю забезпечених комп’ютерним бінарний,Автомобіль,Автомобіль бінарний,"Транспортний засіб (мотоцикл, квадроцикл, мотороллер) або велосипед ",Транспортний засіб бінарний,Апарат визначення рівня глюкози крові у комплекті (глюкометр та витратні матеріали). В коментарі вкажіть на скільки місяців роботи є запас,"Засоби індивідуального захисту (одноразовий халат, одноразові рукавички, бахіли, респіратор класу захисту FFP2/ FFP3, шапочка медична, маска хірургічна (медична), захисний щиток). Вкажіть на скількі місяців забезпечені","Наявність витратних матеріалів для збору, зберігання та утілізації медичних відходів. Вкажіть на скількі місяців забезпечені",Кисневий концентратор (у комплекті з витратними (одноразовими) матеріалами),Небулайзер,Мішок ручної вентиляції легень (типу Амбу),Гематологічний аналізатор (стац./.портатив/ автомат/ полу),Анализатор HbA1C (Глікований гемоглобін),Біохімічний аналізатор,"Лабораторний посуд, дозатори, витратні матеріали. Вкажіть на скількі місяців забезпечені",Холодильник для зберігання вакцин,Зовнішній дефібрилятор автоматичний,Ноші медичні,Крісло-каталка,Кількість генераторів. Вкажіть потужність в коментарях,"Загальна оглядова цифрова камера (автофокус, цифровий зум, поляризаційний фільтр, автобаланс. білого)","Коментарі щодо стану обладнання, комплектації, тощо (якщо є такі)","Набір цифрових «скопічних» систем із генератором світла (дерматоскоп, офтальмоскоп, отоскоп, назо-фарингоскоп, сінускоп, кольпоскоп)","Коментарі щодо стану обладнання, комплектації, тощо (якщо є такі)_duplicated_0",Дерматоскоп,Офтальмоскоп,Отоскоп,Спірометр цифровий,"Коментарі щодо стану обладнання, комплектації, тощо (якщо є такі)_duplicated_1","Монітор життєвоважливих показників із цифровим інтерфейсом (АТ, термометрія, пульсоксиметрія)",12-канальний електрокардіограф з цифровим інтерфейсом,"Коментарі щодо стану обладнання, комплектації, тощо (якщо є такі)_duplicated_2",Обладнання для надання медичних послуг із застосуванням телемедицини бінарний
c9c95b5814531739,0.0,0.0,1.0,1.0,0.0,495.0,0.0,485.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
c27bcb118d26eb96,0.0,0.0,0.0,0.0,0.0,442.0,0.0,440.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
13186b7f5cd7d395,1.0,1.0,1.0,1.0,1.0,1170.0,0.9,1700.0,0.6,0.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0
69fd718cc80cfafc,7.0,1.0,9.0,1.0,1.3,20000.0,0.4,13000.0,0.5,0.0,0.0,9.0,30.0,9.0,7.0,7.0,7.0,3.0,3.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,10.0,5.0,6.0,1.0,,11.0,1.0,2.0,1.0,0.0,0.0,30.0,6.0,6.0,12.0,2.0,7.0,1.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,,7.0,,0.0,0.0,0.0,7.0,,7.0,0.0,є потреба,1.0
0ccc4fcc33142a9b,0.0,0.0,2.0,1.0,0.0,756.0,0.0,1421.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,36.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,1.0,,1.0,1.0,,1.0
7fed7cfd0e8a7ef1,1.0,1.0,2.0,1.0,2.0,2123.0,0.5,1901.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,,1.0
f88fd6856ac27cc5,1.0,1.0,1.0,1.0,1.0,1578.0,0.6,1578.0,0.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,,1.0
6dd5e6a91e756a33,1.0,1.0,2.0,1.0,2.0,1800.0,0.6,1738.0,0.6,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
ca6ff289da3f6f40,1.0,1.0,3.0,1.0,3.0,1295.0,0.8,1279.0,0.8,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,,1.0
ca3e45e2ccf87dd5,1.0,1.0,6.0,1.0,6.0,2072.0,0.5,2017.0,0.5,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,,2.0,1.0,1.0,1.0,0.0,0.0,6.0,12.0,12.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,,1.0,ОФТАЛЬМОСКОП,0.0,1.0,0.0,1.0,,1.0,1.0,,1.0
